cycle,range_bin,doppler_bin,output_hex
1158065000,22,30,015dfe2f
1158075000,22,31,fdb20331
1163155000,23,0,ff9c014a
1163165000,23,1,fff7ff14
1163175000,23,2,007d0198
1163185000,23,3,feddff1a
1163195000,23,4,00a3ffd3
1163205000,23,5,0040022d
1163215000,23,6,000dfd1f
1163225000,23,7,fec2028b
1163235000,23,8,0139fda6
1163245000,23,9,00350134
1163255000,23,10,fec10025
1163265000,23,11,020b0083
1163275000,23,12,feb8ff81
1163285000,23,13,ff92ff40
1163295000,23,14,0158feee
1163305000,23,15,ffc702a6
1163315000,23,16,fe9cfdb4
1163325000,23,17,02430244
1163335000,23,18,fe4dfea0
1163345000,23,19,feb10058
1163355000,23,20,0245ff81
1163365000,23,21,fe5a000f
1163375000,23,22,014b01b9
1163385000,23,23,0034fd85
1163395000,23,24,00570164
1163405000,23,25,ffddfe90
1163415000,23,26,fe210303
1163425000,23,27,020ffccb
1163435000,23,28,fe38012b
1163445000,23,29,00e0ffd0
1163455000,23,30,00140212
1163465000,23,31,0033fce2
1168545000,24,0,ffdd007b
1168555000,24,1,011e003c
1168565000,24,2,fe900088
1168575000,24,3,026cfef4
1168585000,24,4,fb35ffe1
1168595000,24,5,06980076
1168605000,24,6,fc040045
1168615000,24,7,010c0030
1168625000,24,8,ff51feea
1168635000,24,9,ff5301be
1168645000,24,10,00e7fc9c
1168655000,24,11,00e10487
1168665000,24,12,ff10fca0
1168675000,24,13,00dd0033
1168685000,24,14,ff56012f
1168695000,24,15,0044ff6a
1168705000,24,16,ffebff9b
1168715000,24,17,ff9a0048
1168725000,24,18,fe94003e
1168735000,24,19,01e400ea
1168745000,24,20,ff1dfe55
1168755000,24,21,003e0012
1168765000,24,22,00ea0249
1168775000,24,23,fd9efc26
1168785000,24,24,02f703d0
1168795000,24,25,fec1ff12
1168805000,24,26,ff950026
1168815000,24,27,009ffe9f
1168825000,24,28,002e00c2
1168835000,24,29,fe81ff49
1168845000,24,30,01fc0173
1168855000,24,31,fec2fec4
1173935000,25,0,028bff8e
1173945000,25,1,ff900107
1173955000,25,2,ffdbff50
1173965000,25,3,008b00ce
1173975000,25,4,fd8c0034
1173985000,25,5,033bfef8
1173995000,25,6,fd5301b2
1174005000,25,7,010aff87
1174015000,25,8,0039ff6f
1174025000,25,9,00810019
1174035000,25,10,ffcefed2
1174045000,25,11,fea10356
1174055000,25,12,01bffaf4
1174065000,25,13,feaa0359
1174075000,25,14,ffdc006d
1174085000,25,15,0121ff0d
1174095000,25,16,000100c0
1174105000,25,17,feb6ff11
